,Brand,Model,Year,Overall Score,Road Test Score,Reliability Score,Owner Satisfaction,Warranty,Drivetrain Warranty,Corrosion Waranty,Roadside Aid,Free Maintenance,Acceleration Score,Zero To Sixty,Transmission Score,Fuel Economy Score,Overall Fuel Economy,City Fuel Economy,Highway Fuel Economy,Annual Fuel Cost,Braking Score,Emergency Handling Score,Ride Score,Noise Score,Front Seat Score,Rear Seat Score,Interior Finish Score,Trunk Score,Seats,Zero To Thirty,Fortyfive To Sixty,Quarter Mile,Quarter Speed,Routine Handling Score,Avoidance Max Speed,Wet Braking,Dry Braking,Headlights,Driving Position,Front Shoulder Room,Front Leg Room,Front Head Room,Rear Shoulder Room,Rear Leg Room,Rear Head Room,Third Row Score,Third Shoulder Room,Third Leg Room,Third Head Room,Front Access,Rear Access,Third Access,Usability,Climate System,Fuel Capacity,Fuel Type,Forward Collision Warning,City Automatic Braking,Highway Automatic Braking,Pedestrian Detection,Lane Departure Warning,Lane Keep Assist,Blind Spot Warning,Rear Traffic Warning,Rear View Camera,Anti Lock Breaks,Traction Control,Stability Control,Daytime Running Lights,Side Airbags,Head Airbags,IIHS Moderate Overlap,IIHS Driver Overlap,IIHS Passenger Overlap,IIHS Side Crash,IIHS Rear Crash,IIHS Roof Crush,Length,Width,Height,Wheelbase,Turning Circle,Curb Weight,Max Load,Towing Capacity,Driving Satisfaction,Comfort Satisfaction,Value Satisfaction,Styling Satisfaction,Nameplate (Cleaned)
0,toyota,highlander,2020,86,86,4,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,2 years/unlimited miles,"2 years/25,000 miles",4,7.3,4,3,22,14,32,"1,315",4,3,4,4,4,5,4,3,"2 front, 3 rear, 3 third",2.9,5.2,15.7,93,3,50,132,141,3,4,58.5,42,4.5,57.5,31,4.5,1,49,22,1.5,5,5,1,4,5,17.9,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,195,76,68,112,38,4365,1390,5000,,,,,highlander
0,tesla,model-3,2020,80,82,3,5,"4 years/50,000 miles","8 years/100,000 miles",12 years/unlimited miles,"4 years/50,000 miles",,5,5.3,5,5,130,136,123,A,4,4,2,3,5,2,4,3,"2 front, 3 rear",2.4,2.8,14,102,5,55,133,141,4,4,55.5,42.5,6,52.5,29,3.5,N,,,,3,3,N,1,5,,Electric,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Good,Good,Good,Good,185,73,57,113,40,3895,890,,98,82,72,91,model3
0,toyota,c-hr,2020,61,64,3,1,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,2 years/unlimited miles,"2 years/25,000 miles",2,11.2,4,4,29,19,42,985,4,3,3,3,3,4,3,3,"2 front, 3 rear",4.8,6.7,18.6,80,4,53,131,147,4,3,54,41.5,4.5,53,27.5,3,N,,,,4,2,N,5,4,13.2,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard with rollover,Good,Good,Good,Good,Good,Good,171,71,62,104,36,3290,835,,66,49,58,83,chr
0,nissan,murano,2020,75,77,4,3,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,7.7,5,3,21,15,29,"1,355",4,3,4,4,4,4,4,3,"2 front, 3 rear",3.4,5,16,92,3,51,131,137,2,3,58.5,41.5,4,57.5,29.5,2.5,N,,,,5,4,N,4,5,19,Regular,Standard,Standard,Standard,Optional,Optional,Optional,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard with rollover,Good,Good,Good,Good,Good,Good,192,75,67,111,40,4025,900,1500,77,80,64,86,murano
0,lexus,rx-l,2020,81,80,4,4,,,,,,4,7.7,5,2,20,12,30,"1,465",4,3,5,5,5,4,5,3,"2 front, 3 rear, 2 third",2.9,5.3,16,90,3,52,136,139,4,4,58.5,42,3.5,56.5,30.5,3.5,1,45.5,16.5,,5,4,1,3,5,19.2,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard,,,,,,,197,75,67,110,41,4650,1235,3500,,,,,rxl
0,chrysler,pacifica,2020,59,85,1,3,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"5 years/60,000 miles",,4,8,4,3,21,13,33,"1,405",4,3,4,4,4,4,4,5,"2 front, 3 rear, 3 third",3.1,5.6,16.2,90,3,51,136,141,2,4,63.5,42,6.5,63,31,4.5,3,61,29,4,5,5,3,5,5,19,Regular,Optional,Optional,Optional,,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front,Standard,Good,Good,Acceptable,Good,Good,Good,204,80,70,122,41,4535,1300,3600,77,76,60,80,pacifica
0,acura,rdx,2020,61,82,1,3,"4 years/50,000 miles","6 years/70,000 miles",5 years/unlimited miles,"4 years/50,000 miles",,4,7,4,3,22,15,30,"1,535",5,4,3,4,5,4,4,3,"2 front, 3 rear",3,4.9,15.5,95,4,52,127,129,3,4,59,41.5,4,55.5,28,3,N,,,,5,4,N,2,5,17.1,Premium,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Good,Good,Good,Good,187,74,66,108,40,4005,940,1500,83,82,59,88,rdx
0,honda,ridgeline,2020,76,83,3,4,"3 years/36,000 miles","5 years/60,000 miles",5 years/unlimited miles,"3 years/36,000 miles",,4,7.3,5,2,20,13,29,"1,470",4,3,4,4,4,3,4,3,"2 front, 3 rear",3,5.2,15.8,90,3,54,134,142,2,4,61,40.5,6,60.5,26,4.5,N,,,,4,3,N,4,5,19.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Optional,Standard,Standard,Standard,Standard,Standard,Standard front,Standard with rollover,Good,Good,Acceptable,Good,Good,Good,210,79,71,125,46,4415,1325,5000,84,84,63,78,ridgeline
0,lincoln,mkz,2020,89,88,4,4,"4 years/50,000 miles","6 years/70,000 miles",5 years/unlimited miles,unlimited years/unlimited miles,,4,7.4,5,3,23,16,34,"1,230",5,4,5,5,5,3,5,4,"2 front, 3 rear",3,4.6,15.8,92,4,53,124,133,1,3,57,41.5,3,54.5,28,2,N,,,,4,3,N,4,5,16.5,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard front,Standard,Good,Good,Good,Good,Good,Good,194,73,58,112,40,3755,875,1000,81,83,71,91,mkz
0,genesis,g90,2020,82,89,3,5,"5 years/60,000 miles","10 years/100,000 miles",7 years/unlimited miles,5 years/unlimited miles,"3 years/36,000 miles",5,6,5,2,18,11,28,"1,605",4,3,5,5,5,5,5,3,"2 front, 3 rear",2.6,4,14.5,101,4,52,130,145,3,4,59,44,4.5,56.5,33,3,N,,,,4,5,N,4,5,21.9,Regular,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard front & rear,Standard,Good,Good,Good,Good,Good,Good,205,75,59,124,41,4820,880,,93,91,88,93,g90
